424;"Buckbean Brewing Company";"Reno";"NV"
425;"Krebs Brewing Company (Pete's Pl...";"Krebs";"OK"
426;"Flat Rock Brewing Company";"Smithton";"PA"
427;"Atwater Brewery";"Detroit";"MI"
428;"Coastal Extreme Brewing Company";"Newport";"RI"
429;"Great Crescent Brewery";"Aurora";"IN"
430;"Catawba Valley Brewing Company";"Morganton";"NC"
431;"Liquid Hero Brewery";"York";"PA"
432;"Okoboji Brewing Company";"Spirit Lake";"IA"
433;"Fullsteam Brewery";"Durham";"NC"
434;"Blue Hills Brewery";"Canton";"MA"
435;"Southern Oregon Brewing Company";"Medford";"OR"
436;"Mountain Town Brewing Company";"Mount Pleasant";"MI"
437;"4 Hands Brewing Company";"Saint Louis";"MO"
438;"Red Tank Cider Company";"Bend";"OR"
439;"Fearless Brewing Company";"Estacada";"OR"
440;"Dock Street Brewery";"Philadelphia";"PA"
441;"Eddyline Brewery & Restaurant";"Buena Vista";"CO"
442;"Hops & Grain Brewery";"Austin";"TX"
443;"Hop Farm Brewing Company";"Pittsburgh";"PA"
444;"Tröegs Brewing Company";"Hershey";"PA"
445;"Mikkeller";"Pottstown";"PA"
446;"Woodchuck Hard Cider";"Middlebury";"VT"
447;"Ska Brewing Company";"Durango";"CO"
448;"Four Horsemen Brewing Company";"South Bend";"IN"
449;"Thomas Hooker Brewing Company";"Bloomfield";"CT"
450;"Carolina Brewery";"Pittsboro";"NC"
451;"Engine House 9";"Tacoma";"WA"
452;"Quest Brewing Company";"Greenville";"SC"
453;"Woodstock Inn, Station & Brewery";"North Woodstock";"NH"
454;"Brewery Terra Firma";"Traverse City";"MI"
455;"Neshaminy Creek Brewing Company";"Croydon";"PA"
456;"Barrio Brewing Company";"Tucson";"AZ"
457;"Astoria Brewing Company";"Astoria";"OR"
458;"Sly Fox Brewing Company";"Phoenixville";"PA"
459;"The Alchemist";"Waterbury";"VT"
460;"Rhinegeist Brewery";"Cincinnati";"OH"
461;"Milwaukee Brewing Company";"Milwaukee";"WI"
462;"Mickey Finn's Brewery";"Libertyville";"IL"
463;"Good People Brewing Company";"Birmingham";"AL"
464;"Oskar Blues Brewery";"Lyons";"CO"
465;"Four Fathers Brewing";"Valparaiso";"IN"
466;"Otter Creek Brewing";"Waterbury";"VT"
467;"Hilliard's Beer";"Seattle";"WA"
468;"Avery Brewing Company";"Boulder";"CO"
469;"Marshall Wharf Brewing Company";"Belfast";"ME"
470;"Meckley's Cidery";"Somerset Center";"MI"
471;"Butcher's Brewing";"Carlsbad";"CA"
472;"Evil Czech Brewery";"Mishawaka";"IN"
473;"Appalachian Mountain Brewery";"Boone";"NC"
474;"Wildwood Brewing Company";"Stevensville";"MT"
475;"Jackalope Brewing Company";"Nashville";"TN"
476;"Anthem Brewing Company";"Oklahoma City";"OK"
477;"Mother Earth Brew Company";"Vista";"CA"
478;"Abita Brewing Company";"Abita Springs";"LA"
479;"Lucette Brewing Company";"Menominie";"WI"
480;"Black Acre Brewing Co.";"Indianapolis";"IN"
481;"French Broad Brewery";"Asheville";"NC"
482;"Wisconsin Brewing Company";"Verona";"WI"
483;"Three Pints Brewing";"Martinsville";"IN"
484;"Swashbuckler Brewing Company";"Manheim";"PA"
485;"Defiance Brewing Company";"Hays";"KS"
486;"Hess Brewing Company";"San Diego";"CA"
487;"Brooklyn Brewery";"Brooklyn";"NY"
488;"Borderlands Brewing Company";"Tucson";"AZ"
489;"Catawba Brewing Company";"Morganton";"NC"
490;"Mother's Brewing";"Springfield";"MO"
491;"Magic Hat Brewing Company";"South Burlington";"VT"
492;"Karbach Brewing Company";"Houston";"TX"
493;"Rising Tide Brewing Company";"Portland";"ME"
494;"Twin Lakes Brewing Company";"Greenville";"DE"
495;"Orpheus Brewing";"Atlanta";"GA"
496;"Covington Brewhouse";"Covington";"LA"
497;"Prescott Brewing Company";"Prescott";"AZ"
498;"Modern Monks Brewery";"Lincoln";"NE"
499;"Tin Roof Brewing Company";"Baton Rouge";"LA"
500;"Stone Coast Brewing Company";"Portland";"ME"
501;"Goose Island Brewery Company";"Chicago";"IL"
502;"King Street Brewing Company";"Anchorage";"AK"
503;"Three Notch'd Brewing Company";"Charlottesville";"VA"
504;"Triangle Brewing Company";"Durham";"NC"
505;"Revolution Brewing";"Paonia";"CO"
506;"Third Street Brewhouse";"Cold Spring";"MN"
507;"Big Bend Brewing Company";"Alpine";"TX"
508;"Roanoke Railhouse Brewery";"Roanoke";"VA"
